curve_id,idx,x,y,z
1,0,1000.0,395858289.715329,
1,1,1373.8237958832628,379978596.8762331,
1,2,1887.391822135097,364058668.1157583,
1,3,2592.9437974046673,365406324.6040597,
1,4,3562.247890262442,355331206.2274934,
1,5,4893.900918477494,337911950.5152664,
1,6,6723.357536499337,309179544.40143937,
1,7,9236.708571873864,348838733.12115675,
1,8,12689.610031679222,340439148.9259879,
1,9,17433.28822199988,317658934.6862903,
1,10,23950.26619987486,270663998.4489905,
1,11,32903.44562312668,324949302.9793563,
1,12,45203.53656360243,247606275.31524488,
1,13,62101.694189156166,283379719.5305952,
1,14,85316.7852417281,245123308.49188232,
1,15,117210.22975334806,225499636.30272526,
1,16,161026.20275609393,244819839.64573282,
1,17,221221.6291070448,205239762.08065426,
1,18,303919.5382313198,179131152.341013,
1,19,417531.89365604,237446598.65569088,
1,20,573615.2510448681,158532916.64799455,
1,21,788046.2815669912,223743351.8378988,
1,22,1082636.733874054,182151655.9930088,
1,23,1487352.1072935117,191557520.86746088,
1,24,2043359.7178569417,228975072.25333714,
1,25,2807216.2039411757,211841719.77486932,
1,26,3856620.4211634723,153944890.44485015,
1,27,5298316.906283707,183294850.35937792,
1,28,7278953.843983154,153944890.44485015,
1,29,10000000.0,158101890.98812646,
2,0,0.0,0.0022323352871352325,
2,1,1315.6649514304897,0.003153353713523439,
2,2,2631.3299028609795,0.003961525419249004,
2,3,3946.9948542914694,0.004670676818637046,
2,4,5262.659805721959,0.0052929402605407985,
2,5,6578.324757152449,0.005838961591760124,
2,6,7893.989708582939,0.0063180822889915035,
2,7,9209.654660013428,0.006738499275270882,
2,8,10525.319611443918,0.007107405155091135,
2,9,11840.98456287441,0.007431111267373476,
2,10,13156.649514304898,0.007715155661515424,
2,11,14472.314465735388,0.007964397843798023,
2,12,15787.979417165878,0.008183101915098752,
2,13,17103.644368596368,0.008375009522252027,
2,14,18419.309320026856,0.00854340387112839,
2,15,19734.974271457348,0.00869116589658497,
2,16,21050.639222887836,0.008820823550257553,
2,17,22366.304174318328,0.00893459504942274,
2,18,23681.96912574882,0.00903442682684315,
2,19,24997.634077179304,0.009122026830851603,
